ticker,vb_k,stoploss_pct,trailing_activate_pct,trailing_stop_pct,return_pct,win_rate,trades,mdd_pct,profit_factor,sharpe,score
KODEX200,0.3,3.0,3.0,1.5,128.12,80.5,77,8.93,3.01,2.47,70.2
KODEX코스닥150,0.3,3.0,3.0,1.5,10.34,61.1,54,15.63,1.16,0.33,44.75
삼성전자,0.3,3.0,3.0,1.5,61.44,68.7,67,16.41,1.88,1.22,52.56
KODEX200,0.5,1.5,2.0,0.5,61.47,66.3,98,9.75,2.03,1.63,53.98
KODEX코스닥150,0.5,1.5,2.0,0.5,14.52,50.7,67,13.27,1.29,0.48,43.81
삼성전자,0.5,1.5,2.0,0.5,70.97,61.4,83,7.8,2.18,1.44,57.49
KODEX200,0.5,1.5,2.0,1.0,63.71,68.4,95,9.76,2.16,1.71,55.05
KODEX코스닥150,0.5,1.5,2.0,1.0,8.77,49.2,65,15.16,1.18,0.32,41.37
삼성전자,0.5,1.5,2.0,1.0,61.19,58.0,81,8.54,2.02,1.27,54.89
KODEX200,0.5,1.5,2.0,1.5,63.01,67.0,94,9.76,2.1,1.72,54.76
KODEX코스닥150,0.5,1.5,2.0,1.5,8.0,49.2,65,15.17,1.16,0.3,41.24
삼성전자,0.5,1.5,2.0,1.5,54.98,57.7,78,9.27,1.98,1.23,53.58
KODEX200,0.5,1.5,2.5,0.5,60.87,61.5,91,9.74,1.94,1.55,53.63
KODEX코스닥150,0.5,1.5,2.5,0.5,16.49,50.0,66,13.27,1.33,0.53,44.09
삼성전자,0.5,1.5,2.5,0.5,79.66,60.0,75,7.82,2.35,1.54,59.38
KODEX200,0.5,1.5,2.5,1.0,58.66,63.1,84,9.77,2.02,1.56,54.28
KODEX코스닥150,0.5,1.5,2.5,1.0,10.8,48.4,64,14.53,1.22,0.38,42.11
삼성전자,0.5,1.5,2.5,1.0,71.99,58.1,74,8.15,2.21,1.43,57.63
KODEX200,0.5,1.5,2.5,1.5,59.23,62.7,83,9.77,2.03,1.56,54.39
KODEX코스닥150,0.5,1.5,2.5,1.5,9.88,48.4,64,14.5,1.2,0.35,41.99
삼성전자,0.5,1.5,2.5,1.5,63.62,58.3,72,8.15,2.13,1.36,56.53
KODEX200,0.5,1.5,3.0,0.5,63.98,61.2,85,9.64,2.05,1.59,54.75
KODEX코스닥150,0.5,1.5,3.0,0.5,23.43,51.6,62,8.67,1.47,0.69,49.37
삼성전자,0.5,1.5,3.0,0.5,82.34,59.5,74,7.82,2.38,1.57,59.81
KODEX200,0.5,1.5,3.0,1.0,60.56,61.7,81,9.68,2.04,1.56,54.67
KODEX코스닥150,0.5,1.5,3.0,1.0,17.48,50.0,60,8.61,1.36,0.55,48.34
삼성전자,0.5,1.5,3.0,1.0,77.2,57.5,73,8.15,2.27,1.47,58.44
KODEX200,0.5,1.5,3.0,1.5,61.78,61.3,80,9.68,2.06,1.57,54.88
KODEX코스닥150,0.5,1.5,3.0,1.5,16.57,50.0,60,8.63,1.34,0.52,48.18
삼성전자,0.5,1.5,3.0,1.5,72.11,58.6,70,8.15,2.28,1.49,58.15
KODEX200,0.5,2.0,2.0,0.5,91.62,76.1,88,8.64,2.62,2.06,62.6
KODEX코스닥150,0.5,2.0,2.0,0.5,9.28,54.8,62,13.64,1.17,0.32,44.01
삼성전자,0.5,2.0,2.0,0.5,76.17,67.5,83,11.35,2.2,1.48,56.87
KODEX200,0.5,2.0,2.0,1.0,90.9,77.6,85,8.57,2.75,2.11,63.14
KODEX코스닥150,0.5,2.0,2.0,1.0,3.64,53.3,60,16.0,1.07,0.17,41.24
삼성전자,0.5,2.0,2.0,1.0,62.08,64.2,81,13.64,1.97,1.26,52.44
KODEX200,0.5,2.0,2.0,1.5,88.98,76.2,84,8.57,2.6,2.09,62.65
KODEX코스닥150,0.5,2.0,2.0,1.5,2.78,53.3,60,16.02,1.05,0.15,41.09
삼성전자,0.5,2.0,2.0,1.5,57.4,64.1,78,14.25,1.95,1.24,51.52
KODEX200,0.5,2.0,2.5,0.5,89.65,72.9,85,8.66,2.38,1.99,61.93
KODEX코스닥150,0.5,2.0,2.5,0.5,10.91,54.1,61,14.66,1.19,0.37,43.47
삼성전자,0.5,2.0,2.5,0.5,79.23,65.3,75,10.66,2.25,1.52,58.24
KODEX200,0.5,2.0,2.5,1.0,86.42,74.7,79,8.64,2.5,2.01,62.39
KODEX코스닥150,0.5,2.0,2.5,1.0,5.7,52.5,59,15.36,1.1,0.23,41.99
삼성전자,0.5,2.0,2.5,1.0,66.59,63.5,74,11.87,2.03,1.33,55.05
KODEX200,0.5,2.0,2.5,1.5,87.45,74.4,78,8.64,2.51,2.01,62.59
KODEX코스닥150,0.5,2.0,2.5,1.5,4.77,52.5,59,15.35,1.09,0.2,41.85
삼성전자,0.5,2.0,2.5,1.5,60.09,63.9,72,12.1,1.99,1.29,54.12
KODEX200,0.5,2.0,3.0,0.5,95.31,72.8,81,8.56,2.49,2.06,63.29
KODEX코스닥150,0.5,2.0,3.0,0.5,14.3,54.2,59,10.47,1.25,0.45,47.38
삼성전자,0.5,2.0,3.0,0.5,73.1,63.0,73,10.91,2.14,1.43,56.81
KODEX200,0.5,2.0,3.0,1.0,85.46,72.7,77,8.68,2.44,1.96,62.0
KODEX코스닥150,0.5,2.0,3.0,1.0,8.71,52.6,57,10.57,1.15,0.31,46.29
삼성전자,0.5,2.0,3.0,1.0,65.04,61.1,72,11.82,1.99,1.29,54.56
KODEX200,0.5,2.0,3.0,1.5,85.85,72.4,76,8.68,2.44,1.96,62.11
KODEX코스닥150,0.5,2.0,3.0,1.5,7.92,52.6,57,10.58,1.14,0.29,46.15
삼성전자,0.5,2.0,3.0,1.5,64.29,62.3,69,12.04,2.06,1.33,54.82
KODEX200,0.5,2.5,2.0,0.5,109.68,82.4,85,6.6,3.19,2.28,68.58
KODEX코스닥150,0.5,2.5,2.0,0.5,12.11,61.0,59,10.48,1.2,0.39,48.38
삼성전자,0.5,2.5,2.0,0.5,56.81,67.1,85,15.51,1.75,1.15,50.38
KODEX200,0.5,2.5,2.0,1.0,109.17,84.1,82,6.61,3.48,2.34,69.13
KODEX코스닥150,0.5,2.5,2.0,1.0,4.81,59.6,57,14.3,1.08,0.2,44.26
삼성전자,0.5,2.5,2.0,1.0,43.44,63.9,83,17.6,1.57,0.94,46.23
KODEX200,0.5,2.5,2.0,1.5,105.27,81.5,81,6.61,3.13,2.29,68.09
KODEX코스닥150,0.5,2.5,2.0,1.5,3.72,59.6,57,14.31,1.06,0.17,44.08
삼성전자,0.5,2.5,2.0,1.5,39.43,63.7,80,18.16,1.55,0.9,45.43
KODEX200,0.5,2.5,2.5,0.5,103.4,77.8,81,6.37,2.68,2.14,67.23
KODEX코스닥150,0.5,2.5,2.5,0.5,8.84,58.6,58,13.36,1.14,0.31,45.31
삼성전자,0.5,2.5,2.5,0.5,58.22,64.9,77,14.54,1.76,1.17,51.69
KODEX200,0.5,2.5,2.5,1.0,102.56,80.0,75,6.39,2.92,2.19,68.12
KODEX코스닥150,0.5,2.5,2.5,1.0,7.16,58.9,56,13.54,1.12,0.26,45.17
삼성전자,0.5,2.5,2.5,1.0,46.42,63.2,76,16.07,1.61,0.99,48.41
KODEX200,0.5,2.5,2.5,1.5,102.9,79.7,74,6.39,2.91,2.19,68.21
KODEX코스닥150,0.5,2.5,2.5,1.5,5.8,58.9,56,13.56,1.1,0.23,44.94
삼성전자,0.5,2.5,2.5,1.5,44.2,63.5,74,16.28,1.61,0.98,48.16
KODEX200,0.5,2.5,3.0,0.5,110.39,77.9,77,6.46,2.8,2.2,68.7
KODEX코스닥150,0.5,2.5,3.0,0.5,15.99,60.0,55,12.25,1.26,0.48,47.87
삼성전자,0.5,2.5,3.0,0.5,60.31,64.4,73,15.14,1.84,1.21,51.87
KODEX200,0.5,2.5,3.0,1.0,99.74,78.1,73,6.35,2.79,2.11,67.52
KODEX코스닥150,0.5,2.5,3.0,1.0,13.09,59.6,52,12.47,1.22,0.41,47.46
삼성전자,0.5,2.5,3.0,1.0,55.56,62.5,72,16.61,1.78,1.12,49.73
KODEX200,0.5,2.5,3.0,1.5,101.03,77.8,72,6.35,2.81,2.13,67.76
KODEX코스닥150,0.5,2.5,3.0,1.5,11.82,59.6,52,12.97,1.2,0.38,46.88
삼성전자,0.5,2.5,3.0,1.5,53.39,63.8,69,16.82,1.8,1.13,49.79
KODEX200,0.5,3.0,2.0,0.5,103.75,82.4,85,6.8,2.9,2.17,67.48
KODEX코스닥150,0.5,3.0,2.0,0.5,8.97,63.8,58,13.36,1.14,0.31,46.38
삼성전자,0.5,3.0,2.0,0.5,57.79,70.4,81,15.0,1.76,1.13,51.98
KODEX200,0.5,3.0,2.0,1.0,104.47,84.1,82,6.81,3.16,2.24,68.23
KODEX코스닥150,0.5,3.0,2.0,1.0,1.33,62.5,56,17.39,1.02,0.11,42.07
삼성전자,0.5,3.0,2.0,1.0,46.09,67.1,79,16.73,1.61,0.95,48.35
KODEX200,0.5,3.0,2.0,1.5,99.74,81.5,81,6.81,2.84,2.18,67.05
KODEX코스닥150,0.5,3.0,2.0,1.5,-0.33,62.5,56,17.41,0.99,0.06,41.79
삼성전자,0.5,3.0,2.0,1.5,36.67,66.2,77,17.12,1.49,0.82,46.57
KODEX200,0.5,3.0,2.5,0.5,94.01,77.8,81,6.58,2.39,1.98,65.57
KODEX코스닥150,0.5,3.0,2.5,0.5,5.29,61.4,57,16.45,1.08,0.21,43.09
삼성전자,0.5,3.0,2.5,0.5,63.51,68.5,73,14.57,1.82,1.2,53.63
KODEX200,0.5,3.0,2.5,1.0,94.24,80.0,75,6.58,2.58,2.04,66.64
KODEX코스닥150,0.5,3.0,2.5,1.0,3.58,61.8,55,16.6,1.06,0.17,42.98
삼성전자,0.5,3.0,2.5,1.0,52.28,66.7,72,16.03,1.69,1.05,50.48
KODEX200,0.5,3.0,2.5,1.5,95.48,79.7,74,6.58,2.6,2.04,66.88
KODEX코스닥150,0.5,3.0,2.5,1.5,1.86,61.8,55,16.58,1.03,0.12,42.72
삼성전자,0.5,3.0,2.5,1.5,47.78,67.1,70,16.24,1.66,1.02,49.88
KODEX200,0.5,3.0,3.0,0.5,101.31,77.9,77,6.65,2.51,2.05,67.1
KODEX코스닥150,0.5,3.0,3.0,0.5,8.42,61.1,54,11.95,1.13,0.29,47.2
삼성전자,0.5,3.0,3.0,0.5,68.77,69.0,71,14.84,1.92,1.29,54.57
KODEX200,0.5,3.0,3.0,1.0,92.23,78.1,73,6.62,2.5,1.98,66.11
KODEX코스닥150,0.5,3.0,3.0,1.0,6.53,60.8,51,12.39,1.1,0.24,46.81
삼성전자,0.5,3.0,3.0,1.0,60.52,67.1,70,16.2,1.79,1.15,51.95
KODEX200,0.5,3.0,3.0,1.5,92.89,77.8,72,6.56,2.51,1.99,66.3
KODEX코스닥150,0.5,3.0,3.0,1.5,4.95,60.8,51,12.94,1.08,0.2,46.15
삼성전자,0.5,3.0,3.0,1.5,61.44,68.7,67,16.41,1.88,1.22,52.56
KODEX200,0.7,1.5,2.0,0.5,68.56,70.4,81,8.59,2.56,1.9,58.51
KODEX코스닥150,0.7,1.5,2.0,0.5,32.81,62.3,53,8.23,2.02,1.08,54.24
삼성전자,0.7,1.5,2.0,0.5,70.97,61.4,83,7.8,2.18,1.44,57.49
KODEX200,0.7,1.5,2.0,1.0,55.73,68.4,79,8.63,2.23,1.66,56.22
KODEX코스닥150,0.7,1.5,2.0,1.0,28.85,62.0,50,9.03,1.95,0.97,53.24
삼성전자,0.7,1.5,2.0,1.0,61.19,58.0,81,8.54,2.02,1.27,54.89
KODEX200,0.7,1.5,2.0,1.5,58.6,67.9,78,8.63,2.29,1.7,56.68
KODEX코스닥150,0.7,1.5,2.0,1.5,27.56,62.0,50,9.03,1.91,0.94,53.04
삼성전자,0.7,1.5,2.0,1.5,54.98,57.7,78,9.27,1.98,1.23,53.58
KODEX200,0.7,1.5,2.5,0.5,59.63,64.9,74,8.57,2.26,1.62,56.69
KODEX코스닥150,0.7,1.5,2.5,0.5,40.95,63.3,49,6.66,2.28,1.25,57.32
삼성전자,0.7,1.5,2.5,0.5,79.66,60.0,75,7.82,2.35,1.54,59.38
KODEX200,0.7,1.5,2.5,1.0,48.71,63.9,72,8.74,2.03,1.42,54.82
KODEX코스닥150,0.7,1.5,2.5,1.0,34.37,61.7,47,7.53,2.1,1.09,55.49
삼성전자,0.7,1.5,2.5,1.0,71.99,58.1,74,8.15,2.21,1.43,57.63
KODEX200,0.7,1.5,2.5,1.5,50.94,63.4,71,8.74,2.08,1.47,55.18
KODEX코스닥150,0.7,1.5,2.5,1.5,33.21,61.7,47,7.53,2.06,1.05,55.31
삼성전자,0.7,1.5,2.5,1.5,63.62,58.3,72,8.15,2.13,1.36,56.53
KODEX200,0.7,1.5,3.0,0.5,46.42,61.4,70,8.67,1.95,1.35,54.2
KODEX코스닥150,0.7,1.5,3.0,0.5,44.94,64.6,48,6.17,2.45,1.35,58.68
삼성전자,0.7,1.5,3.0,0.5,82.34,59.5,74,7.82,2.38,1.57,59.81
KODEX200,0.7,1.5,3.0,1.0,42.91,60.9,69,8.63,1.88,1.26,53.67
KODEX코스닥150,0.7,1.5,3.0,1.0,38.19,63.0,46,6.69,2.26,1.18,57.09
삼성전자,0.7,1.5,3.0,1.0,77.2,57.5,73,8.15,2.27,1.47,58.44
KODEX200,0.7,1.5,3.0,1.5,45.26,60.3,68,8.63,1.92,1.31,54.03
KODEX코스닥150,0.7,1.5,3.0,1.5,37.03,63.0,46,6.7,2.23,1.15,56.9
